"Step","14_sazut-tonat-munobhasaz - episodic_return","14_sazut-tonat-munobhasaz - episodic_return__MIN","14_sazut-tonat-munobhasaz - episodic_return__MAX"
"347240","3","3","3"
"349317","10","10","10"
"349596","6","6","6"
"349732","4","4","4"
"350152","6","6","6"
"350446","4","4","4"
"350614","5","5","5"
"352098","7","7","7"
"352510","2","2","2"
"352592","3","3","3"
"352677","7","7","7"
"352762","6","6","6"
"353101","2","2","2"
"353187","3","3","3"
"353473","1","1","1"
"353678","5","5","5"
"354534","3","3","3"
"354620","6","6","6"
"355052","1","1","1"
"355540","9","9","9"
"355823","0","0","0"
"356039","6","6","6"
"356373","0","0","0"
"357035","2","2","2"
"357147","10","10","10"
"357408","6","6","6"
"357719","6","6","6"
"358040","4","4","4"
"358377","13","13","13"
"358400","1","1","1"
"358598","10","10","10"
"358840","3","3","3"
"359411","10","10","10"
"361116","2","2","2"
"361639","6","6","6"
"361840","6","6","6"
"362185","1","1","1"
"362562","4","4","4"
"363263","4","4","4"
"363602","13","13","13"
"363659","6","6","6"
"364164","7","7","7"
"364381","16","16","16"
"364428","12","12","12"
"364677","3","3","3"
"364990","4","4","4"
"364995","7","7","7"
"366458","3","3","3"
"366547","2","2","2"
"366905","6","6","6"
"367421","5","5","5"
"368072","6","6","6"
"368245","5","5","5"
"368591","4","4","4"
"368823","8","8","8"
"369076","11","11","11"
"369322","5","5","5"
"370134","6","6","6"
"370189","5","5","5"
"370358","11","11","11"
"371856","3","3","3"
"373130","3","3","3"
"373371","1","1","1"
"373723","3","3","3"
"374106","6","6","6"
"374370","4","4","4"
"374509","4","4","4"
"374625","6","6","6"
"375224","0","0","0"
"375328","3","3","3"
"375681","6","6","6"
"375886","2","2","2"
"376414","11","11","11"
"376518","3","3","3"
"377067","5","5","5"
"377123","5","5","5"
"377892","7","7","7"
"378863","3","3","3"
"378994","14","14","14"
"379543","7","7","7"
"380224","7","7","7"
"380390","4","4","4"
"380455","4","4","4"
"381394","4","4","4"
"381579","3","3","3"
"381639","2","2","2"
"382547","0","0","0"
"383660","6","6","6"
"383976","8","8","8"
"384076","4","4","4"
"384259","5","5","5"
"384770","1","1","1"
"384947","4","4","4"
"385497","8","8","8"
"386589","0","0","0"
"386996","5","5","5"
"387529","4","4","4"
"388444","7","7","7"
"388529","14","14","14"
"388863","4","4","4"
"389177","5","5","5"
"389766","0","0","0"
"390000","5","5","5"
"390901","8","8","8"
"391061","6","6","6"
"391380","9","9","9"
"391486","5","5","5"
"391492","6","6","6"
"391657","8","8","8"
"391749","7","7","7"
"392362","8","8","8"
"392397","3","3","3"
"392631","7","7","7"
"393681","30","30","30"
"393782","4","4","4"
"393970","5","5","5"
"395320","5","5","5"
"395758","7","7","7"
"395951","2","2","2"
"395969","2","2","2"
"396346","5","5","5"
"396432","6","6","6"
"396682","3","3","3"
"396763","4","4","4"
"397440","3","3","3"
"397583","7","7","7"
"397895","2","2","2"
"398280","9","9","9"
"398719","1","1","1"
"398945","3","3","3"
"399204","6","6","6"
"399827","5","5","5"
"400109","6","6","6"
"400416","1","1","1"
"400857","1","1","1"
"401100","1","1","1"
"402382","9","9","9"
"402690","0","0","0"
"403259","6","6","6"
"403430","3","3","3"
"403710","3","3","3"
"403813","3","3","3"
"403979","6","6","6"
"404248","3","3","3"
"404528","0","0","0"
"404700","5","5","5"
"406025","6","6","6"
"406800","1","1","1"
"407071","11","11","11"
"407262","7","7","7"
"407322","9","9","9"
"407399","4","4","4"
"407485","12","12","12"
"408444","6","6","6"
"408623","2","2","2"
"408953","6","6","6"
"409234","2","2","2"
"409458","3","3","3"
"409485","2","2","2"
"410102","3","3","3"
"410565","4","4","4"
"410755","2","2","2"
"411820","6","6","6"
"413032","8","8","8"
"413508","2","2","2"
"414305","4","4","4"
"414683","2","2","2"
"414776","3","3","3"
"414871","14","14","14"
"414947","4","4","4"
"415402","6","6","6"
"415657","6","6","6"
"415985","9","9","9"
"416015","2","2","2"
"416086","7","7","7"
"416244","6","6","6"
"416651","2","2","2"
"417094","9","9","9"
"418058","2","2","2"
"418311","1","1","1"
"418772","6","6","6"
"418852","2","2","2"
"419386","2","2","2"
"419784","4","4","4"
"420060","0","0","0"
"421449","4","4","4"
"422189","3","3","3"
"423064","1","1","1"
"423932","0","0","0"
"424487","2","2","2"
"424670","3","3","3"
"424960","7","7","7"
"425086","4","4","4"
"425120","3","3","3"
"425293","2","2","2"
"425857","5","5","5"
"426636","5","5","5"
"426706","3","3","3"
"427097","5","5","5"
"427639","15","15","15"
"427856","6","6","6"
"428180","0","0","0"
"428469","15","15","15"
"428534","7","7","7"
"429339","2","2","2"
"429744","3","3","3"
"431054","10","10","10"
"431203","3","3","3"
"431410","4","4","4"
"431595","3","3","3"
"432420","3","3","3"
"433247","5","5","5"
"434028","2","2","2"
"434299","9","9","9"
"434755","3","3","3"
"435071","13","13","13"
"435080","3","3","3"
"435505","4","4","4"
"435753","5","5","5"
"435944","3","3","3"
"436169","3","3","3"
"436531","5","5","5"
"436856","6","6","6"
"437282","10","10","10"
"437333","18","18","18"
"437620","5","5","5"
"437698","9","9","9"
"437797","8","8","8"
"437894","6","6","6"
"439448","3","3","3"
"439663","11","11","11"
"439959","6","6","6"
"440502","0","0","0"
"440523","8","8","8"
"440673","10","10","10"
"440765","10","10","10"
"441642","6","6","6"
"441756","4","4","4"
"442010","15","15","15"
"442250","4","4","4"
"442383","8","8","8"
"443216","2","2","2"
"443911","7","7","7"
"444109","2","2","2"
"445984","1","1","1"
"446098","0","0","0"
"447700","3","3","3"
"447830","6","6","6"
"447998","1","1","1"
"448050","0","0","0"
"448442","8","8","8"
"448734","7","7","7"
"449702","10","10","10"
"449728","3","3","3"
"450380","7","7","7"
"450475","2","2","2"
"451384","3","3","3"
"452012","3","3","3"
"452353","9","9","9"
"452488","3","3","3"
"452693","0","0","0"
"452777","2","2","2"
"453117","4","4","4"
"453864","1","1","1"
"454282","2","2","2"
"454468","12","12","12"
"454967","4","4","4"
"455033","3","3","3"
"455329","1","1","1"
"455438","7","7","7"
"455524","2","2","2"
"455665","6","6","6"
"455813","15","15","15"
"456131","5","5","5"
"456710","4","4","4"
"456892","9","9","9"
"457197","9","9","9"
"457269","10","10","10"
"458395","9","9","9"
"458655","5","5","5"
"460005","3","3","3"
"460105","5","5","5"
"460512","1","1","1"
"460824","2","2","2"
"460999","3","3","3"
"461922","9","9","9"
"462703","7","7","7"
"462722","7","7","7"
"462896","7","7","7"
"463121","7","7","7"
"463184","2","2","2"
"463262","4","4","4"
"463358","2","2","2"
"463803","4","4","4"
"464490","4","4","4"
"464851","3","3","3"
"465305","10","10","10"
"465420","0","0","0"
"466059","5","5","5"
"466967","8","8","8"
"467208","2","2","2"
"468519","2","2","2"
"468971","7","7","7"
"469236","6","6","6"
"470034","6","6","6"
"471846","6","6","6"
"472115","9","9","9"
"472425","2","2","2"
"472842","3","3","3"
"473050","7","7","7"
