"Step","12_sazut-tonat-zanohripok - episodic_return","12_sazut-tonat-zanohripok - episodic_return__MIN","12_sazut-tonat-zanohripok - episodic_return__MAX"
"520813","13","13","13"
"521036","13","13","13"
"521448","13","13","13"
"521500","13","13","13"
"521747","13","13","13"
"522810","13","13","13"
"523240","13","13","13"
"523332","13","13","13"
"523461","2","2","2"
"523532","13","13","13"
"523919","13","13","13"
"524146","13","13","13"
"524250","13","13","13"
"524756","13","13","13"
"524822","13","13","13"
"525084","1","1","1"
"525199","3","3","3"
"525303","13","13","13"
"525693","13","13","13"
"525964","13","13","13"
"526534","13","13","13"
"527305","0","0","0"
"527388","13","13","13"
"527695","13","13","13"
"528002","10","10","10"
"528118","13","13","13"
"528314","13","13","13"
"528582","13","13","13"
"529192","13","13","13"
"529369","3","3","3"
"529532","13","13","13"
"529677","13","13","13"
"529763","13","13","13"
"530139","13","13","13"
"530306","13","13","13"
"530621","10","10","10"
"530697","13","13","13"
"530821","13","13","13"
"531225","13","13","13"
"531366","13","13","13"
"531574","13","13","13"
"532032","3","3","3"
"532431","13","13","13"
"532541","13","13","13"
"532576","13","13","13"
"532610","13","13","13"
"532745","13","13","13"
"533050","13","13","13"
"533062","13","13","13"
"533189","13","13","13"
"533326","13","13","13"
"533455","13","13","13"
"533878","13","13","13"
"534524","13","13","13"
"535206","13","13","13"
"535720","13","13","13"
"536038","13","13","13"
"536254","13","13","13"
"536281","13","13","13"
"536329","13","13","13"
"537274","13","13","13"
"537740","3","3","3"
"538114","13","13","13"
"539008","13","13","13"
"540008","13","13","13"
"540486","3","3","3"
"540948","13","13","13"
"541449","13","13","13"
"541816","13","13","13"
"542195","13","13","13"
"542844","13","13","13"
"543385","13","13","13"
"543928","13","13","13"
"544459","13","13","13"
"545050","13","13","13"
"545542","13","13","13"
"545653","13","13","13"
"545843","13","13","13"
"546300","13","13","13"
"547264","13","13","13"
"547459","3","3","3"
"547637","13","13","13"
"548159","3","3","3"
"548211","13","13","13"
"548670","13","13","13"
"548912","2","2","2"
"548945","13","13","13"
"549707","13","13","13"
"550059","2","2","2"
"551096","13","13","13"
"551814","13","13","13"
"552408","13","13","13"
"552689","13","13","13"
"553461","13","13","13"
"554557","13","13","13"
"555002","13","13","13"
"555071","13","13","13"
"555128","13","13","13"
"555203","13","13","13"
"555333","13","13","13"
"555777","13","13","13"
"555857","13","13","13"
"556170","3","3","3"
"556465","13","13","13"
"556661","1","1","1"
"557180","13","13","13"
"557318","13","13","13"
"557770","13","13","13"
"558185","13","13","13"
"558385","13","13","13"
"558512","13","13","13"
"559064","13","13","13"
"559365","13","13","13"
"559774","2","2","2"
